TAG,DESCRIPTION,USED IN COLUMN(S),REFERS TO COLUMN(S)
PRON,The morph is a pronoun without any further specifications because the context is fragmentary.,MORPH CONTEXT¢ SBJ~MORPH COREFERENCE,MORPH/MORPH TRANS/MORPH ANALYSIS
PRON-CLEFT,The constituent so designated is the pronominal pivot in a cleft sentence.,MORPH CONTEXT¢ SBJ~MORPH COREFERENCE,MORPH/MORPH TRANS/MORPH ANALYSIS
PRON-OBJ,The constituent so designated is a pronominal object¢ either infixed into the verbal complex or suffixed to a simple verb.,MORPH CONTEXT¢ SBJ~MORPH COREFERENCE,MORPH/MORPH TRANS/MORPH ANALYSIS
PRON-PRED,The constituent so designated is a pronominal predicate.,MORPH CONTEXT¢ SBJ~MORPH COREFERENCE,MORPH/MORPH TRANS/MORPH ANALYSIS
PRON-SBJ,The constituent so designated is a pronominal subject.,MORPH CONTEXT,MORPH/MORPH TRANS/MORPH ANALYSIS
Relative,The subject has been relativized.,SUBJECT ANALYSIS¢ GOV CONTEXT SBJ ANALYSIS,CLAUSAL SUBJECT/GOV CONTEXT/GOV CONTEXT SBJ
SBJ,The constituent so designated is the subject.,SBJ~MORPH COREFERENCE¢ SBJ~OTHER,CLAUSAL SUBJECT/SUBJECT ANALYSIS
SBJ-CLEFT,The constituent so desgnates is the subject of a cleft or relative clause in a cleft sentence.,SBJ~MORPH COREFERENCE¢ SBJ~OTHER,GOV CONTEXT/GOV CONTEXT TYPE/GOV CONTEXT SBJ/GOV CONTEXT SBJ ANALYSIS
sg,The morph has the value ‘singular’ for the Number feature.,MORPH ANALYSIS¢ SUBJECT ANALYSIS¢ GOV CONTEXT SBJ ANALYSIS,MORPH/MORPH TRANS/MORPH ANALYSIS/CLAUSAL SUBJECT/GOV CONTEXT/GOV CONTEXT SBJ
Small Clause,The subject is a small clause.,SUBJECT ANALYSIS¢ GOV CONTEXT SBJ ANALYSIS,CLAUSAL SUBJECT/GOV CONTEXT/GOV CONTEXT SBJ
Suffixed_Pronoun,The morph is a suffixed pronoun attached to a simple verb.,MORPH ANALYSIS,MORPH/MORPH TRANS/MORPH ANALYSIS
UNC,The analysis of the morph within its context is unclear.,MORPH CONTEXT,MORPH/MORPH TRANS/MORPH ANALYSIS
VBN-OBJ,The constituent so designated is the object of a verbal noun.,MORPH CONTEXT¢ SBJ~MORPH COREFERENCE¢ SBJ~OTHER,MORPH/MORPH TRANS/MORPH ANALYSIS
VBN-SBJ,The constituent so designated is the subject of a verbal noun.,MORPH CONTEXT¢ SBJ~OTHER,MORPH/MORPH TRANS/MORPH ANALYSIS
VERB,The governing context for a potential reflexive marker is a clause headed by a verb. For example¢ in Wb.032a09¢ the potential reflexive marker is the pronominal marking in the constituent imgnaís feín ‘in my own presence’ or ‘with myself’ which is found in the infinitival clause abuith imgnaís feín arahireschi ‘him to be in my own presence/with myself becaues of his faithfulness’ which is the complement of the governing verb dofuthrisse ‘I could wish’. This designation is important for tracking coreference across clausal boundaries¢ since there may be coreference between the subject of the governing verb and a consituent in the embedded (lower) clause.,GOV CONTEXT TYPE,GOV CONTEXT
VERB-SBJ,The consituent so desginated is the subject of a verb in a clause governing an embedded (lower) clause containing a possible reflexive marker.,SBJ~OTHER,GOV CONTEXT/GOV CONTEXT TYPE/GOV CONTEXT SBJ/GOV CONTEXT SBJ ANALYSIS
