Source	Locus 1	Loucs 2	Locus 3	Full Gloss	Translation	IMMEDIATE CONTEXT	IMMEDIATE CONTEXT TRANSLATION	MORPH	MORPH TRANS	MORPH ANALYSIS	MORPH CONTEXT	LEMMA OF MAIN VERB	CLAUSAL SUBJECT	SUBJECT ANALYSIS	GOV CONTEXT	GOV CONTEXT TYPE	GOV CONTEXT LEMMA	GOV CONTEXT SBJ	GOV CONTEXT SBJ ANALYSIS	SBJ~MORPH COREFERENCE	SBJ~OTHER	MORPH REFLEXIVE	Note
Sg.	161b10	161b37 t	S0007-2649	.i. dindí atacomla 7 nad soiriu cach	i.e. since it joins itself <herself> and is not nobler than anyone <else>	dindí atacomla	since it joins itself <lit. herself>	atacomla	it joins itself <lit. herself>	3sg.fem.Infixed_Pronoun	PRON-OBJ	ad-comla	-	3sg.fem.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Sg.	208a10	208a33 u	S0007-3235	.i. forcométas 7 accomol ind óintuisil ipersanaib écsamlib/ acht isinóin persin ata/comla ut inante dicit.	i.e. the conservation and junction of the one case in the various persons, but it is in one person that it joins itself, as he says afterwards	ata/comla	that it joins itself <lit. herself>	ata/comla	it joins itself <lit. herself>	3sg.fem.Infixed_Pronoun	PRON-OBJ	ad-comla	-	3sg.fem.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Meyer, Kuno 1901	254§77	ZCP 3	https://archive.org/details/zeitschriftfrc03meyeuoft/page/254/mode/2up	Ataninntai Cv Cvlaind coa muindtir n-iarum fessne	Thereupon Cuchulaind returned back again to his own people.	Ataninntai Cv Cvlaind coa muindtir n-iarum fessne	Thereupon Cuchulaind returned back again to his own people.	Ataninntai	returned back again	3sg.masc.Infixed_Pronoun	INF-OBJ	ad-intai	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Meyer, Kuno 1901	254§77	ZCP 3	https://archive.org/details/zeitschriftfrc03meyeuoft/page/254/mode/2up	Ataninntai Cv Cvlaind coa muindtir n-iarum fessne	Thereupon Cuchulaind returned back again to his own people.	Ataninntai Cv Cvlaind coa muindtir n-iarum fessne	Thereupon Cuchulaind returned back again to his own people.	coa muindtir ...fessne	to his own people	3sg.masc.Possessive_INTS	PP-COMP	ad-intai	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	SBJ=POSS	NO	N/A
Ml.	066b04	N/A	S0006-4180	.i. adidnopair fessin dudia ɔdegnimaib	i.e. who offers himself to God with good works.	adidnopair fessin dudia ɔdegnimaib	who offers himself to God with good works	adidnopair fessin	who offers himself	3sg.masc.Infixed_Pronoun_INTS	PRON-OBJ	ad-opair	-	3sg.RELATIVE	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
TurMark	Thes.i.493.123	N/A	S0050-95	.i. in bro(na)snae dombert side dia edbairt fesin ishé crist coc<runn><a><chr>uche foir fesin	That is, the firewood that he brought to offer himself, this is Christ with the shaft of his cross on himself.	dia edbairt fesin	to offer himself	dia edbairt fessin	to offer himself	3sg.masc.Possessive_INTS	VBN-OBJ	ad-opair	-	PRO	dombert side	VERB	do-beir	side	3sg.Overt_Pronoun	PRO=VBN-OBJ	VERB-SBJ=VBN-OBJ	YES	MORPH IS COREFERENTIAL WITH HIGHER SUBJECT.
Ml.	039a16	N/A	S0006-2037	atrosoid	he restrained himself.	atrosoid	he restrained himself	atrosoid	he restrained himself	3sg.masc.Infixed_Pronoun	PRON-OBJ	ad-suidi	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	008a04	N/A	N/A	arnach naurchoissed som friníi duronad nach aile	so that he might not be hindered at <i.e. by doing> anything which any other could do	arnach naurchoissed som friníi	so that he might not be hindered at <i.e. by doing> anything	arnach naurchoissed som	so that he might not be hindered	3sg.masc.Infixed_Pronoun	PRON-OBJ	ar-coät	som	3sg.masc.Overt_Pronoun?	N/A	N/A	N/A	N/A	N/A	SBJ=?PRON-OBJ	N/A	UNC	THE TRANSLATION IS UNCLEAR, BUT THIS COULD BE REFLEXIVE. FOR THE NON-REFLEXIVE INTERPRETATION, CF. WB. 7A11.
Best, R.I. and Bergin, Osborn 1929	111	LU l.3506 [SCC 26]	https://celt.ucc.ie/published/G301900/index.html	ardotchuibdig fri sechem na mbriathar sin	adapt yourself to the following of those precepts	ardotchuibdig fri sechem na mbriathar sin	adapt yourself to the following of those precepts	ardotchuibdig	adapt yourself	2sg.Infixed_Pronoun	PRON-OBJ	ar-cuibdig	-	2sg.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	046a12	N/A	S0006-2642	acondírgedar .i. asbeirsom frisnatorus arndacum cabat 7 arnda ersoilcet noch is arnaib dorsaidib són ɔda ǽrset do failti archenn arríg dothet ɔ<a>popul adoiri·	when he reproves, i.e. he says to the doors that they should rise and open themselves: however that is for the doorkeepers so that they may arise in welcome before their King who comes with his people out of captivity.	7 arnda ersoilcet	and <they should> open themselves	arnda ersoilcet	that <they should> open themselves	3pl.Infixed_Pronoun	PRON-OBJ	ar-osailci	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Sg.	147a02	147a26 i	S0007-2467	ar<ṅ>da·osailci	that it opens it <lit. herself>	ar<ṅ>da·osailci	that it opens it <lit. herself>	ar<ṅ>da·osailci	that it opens it <lit. herself>	3sg.fem.Infixed_Pronoun	PRON-OBJ	ar-osailci	-	3sg.fem.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	026d06	N/A	S0006-946	.i. ɔarrc<h>eoratar anarma doib ocarndibierciud	.i. so that their weapons failed them as they pelted us	ɔarrc<h>eoratar anarma doib	so that their weapons failed them	ɔarrc<h>eoratar	so that … failed them	3sg.neut.Infixed_Pronoun	UNC	ara-crin	anarma	pl.Noun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	057a10	N/A	S0006-3560	amal arindchrin dǽ 7 asindbail	as smoke perishes and dies	amal arindchrin dǽ	as smoke perishes and <it> dies	arindchrin	perishes	3sg.neut.Infixed_Pronoun	UNC	ara-crin	dǽ	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	057c12	N/A	S0006-3585	is denithir sin arachrin cumachtae innapecthach	Even so swiftly does the power of sinners perish.	arachrin cumachtae innapecthach	does the power of sinners perish	arachrin	does … perish	3sg.neut.Infixed_Pronoun	UNC	ara-crin	cumachtae innapecthach	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	059b09	N/A	S0006-3706	fobithina rachiurat	because they will perish	fobithina rachiurat	because they will perish	a rachiurat	they will perish	3sg.neut.Infixed_Pronoun	UNC	ara-crin	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	073c02	N/A	S0006-4652	.i. intan aracrinat acharait arnech no anerta	i.e. when a man’s friends perish, or his strength	intan aracrinat acharait arnech	when a man’s friends perish, or his strength	aracrinat	perish	3sg.neut.Infixed_Pronoun	UNC	ara-crin	acharait	pl.Noun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	085d01	N/A	S0006-5280	ní arindi arindrochrietis	It is not because they <=the eyes> perished.	arindrochrietis	they <=the eyes> perished	arindrochrietis	they <=the eyes> perished	3sg.neut.Infixed_Pronoun	UNC	ara-crin	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	136a08	N/A	S0006-8150	araruichiuir moguth occaib	My voice has failed at them.	araruichiuir moguth occaib	My voice has failed at them	araruichiuir	has failed	3sg.neut.Infixed_Pronoun	UNC	ara-crin	moguth	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	044a21	N/A	S0006-2456	notarmaesiu	You arm Yourself.	notarmaesiu	You arm Yourself	notarmaesiu	you arm Yourself	2sg.Infixed_Pronoun	PRON-OBJ	armaid	siu	2sg.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	005a11	N/A	N/A	.i. adbeir fornairchinnech féisne hi tossuch	i.e. your own leader says it at first.	adbeir fornairchinnech féisne hi tossuch	your own leader says it at first	fornairchinnech féisne	your own leader	2pl.Possessive_INTS	NP-SBJ	as-beir	fornairchinnech féisne	sg.Noun	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Wb.	008d26	N/A	N/A	.i. comalnid annupridchim niepur brithemnact fornech naform féin quasi dixisset isairi trimirothorṅdiussa indium inna huilisa asrubartmar ánáll .i. arcor hifarselbadsi et epert ammi mogæ dúibsi et arnebmóidem himagistrib ut gamalial rl. et nebmes for nech ↄdid messed in coimdiu ↄsechide humaldóit huáimse .i. fornebmóidem himagistru et nebmess fornech immaid fa olcc ↄdidmessed dia	i.e. fulfil ye what I preach. I do not pronounce judgment on any one nor <even> on myself: quasi dixisset : it is therefore I have in a figure transferred into myself all these things we have mentioned above, putting ourselves into your possession and saying ‘we are servants of yours,’ and our not boasting as to masters ut Gamaliel , etc., and not judging any one until the Lord shall judge him; so that ye might follow humility from me, that is, your not boasting as to masters, and not judging of any one, whether he be good or evil, until God should have judged him.	niepur brithemnact fornech naform féin	I do not pronounce judgment on any one nor <even> on myself	form féin	on myself	1sg.Null_Pronoun_INTS	PP-COMP	as-beir	-	1sg.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PP-COMP	N/A	YES	N/A
Ml.	033c17	N/A	S0006-1518	inmorthomus .i. ní rabæ diesamni duaid .i. conaipred hofaithsini fadesin nad robae nech cen peccad sed dixit dauid dominus de cælo respexit	the great weight, i.e. David did not have the boldness, i.e. that he should say by his own prophecy that there was no one without sin.	conaipred hofaithsini fadesin	that he should say by his own prophecy	hofaithsini fadesin	by his own prophecy	3sg.masc.Possessive_INTS	PP-COMP	as-beir	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	SBJ=POSS	NO	N/A
Ml.	054c18	N/A	S0006-3319	.i. hu<a>re asbered heremias friusom fesin arangnetis de<g>nimu arduecomnacht dia incathraig hilama cald· 7 hu<a>re no<te>ged echtar<cathr>chaig 7 ba ndilmain do dommuintissom ba <dia>mmrath noteg<ed> noch ba duloig biid immurgu noteged som 7 nibu d<i>ndisin	i.e. because Jeremiah used to say to them themselves that they should do good works, since God had delivered the city into the hands of the Chaldeans. And because he used to go outside the city and it was unrestrained for him, they used to think that it was for their betrayal that he used to go, and yet, however, it was for the purchase of food that he used to go; and it was not because of that <=i.e. for betrayal>.	hu<a>re asbered heremias friusom fesin	because Jeremiah used to say to them themselves	friusom fesin	to them themselves	3pl.Overt_Pronoun_INTS	PP-COMP	as-beir	heremias	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	N/A	NO	N/A
Ml.	067c02	N/A	S0006-4271	.i. is huilliu anasbersom donaib geintlidib .i. atabairt fuchossa .i. quando dicit sub pedibus indaas infoummamugud <leg. infoammamugud> asbeirsom dia chomfulidil <leg. chomfulidib> fessin· .i. subiecit populus .i. cuit foammamigtho tantum ón	i.e. what he says of the Gentiles, to wit, putting them under foot <=i.e. when he says sub pedibus>, is more than the subjugation that he speaks of concerning his own kinsmen, i.e. subiecit populos i.e. that is, as to subjugation only	asbeirsom dia chomfulidil <leg. chomfulidib> fessin	the subjugation that he speaks of concerning his own kinsmen	dia chomfulidil <leg. chomfulidib> fessin	concerning his own kinsmen	3sg.masc.Possessive_INTS	PP-COMP	as-beir	som	3sg.masc.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	SBJ=POSS	NO	N/A
Hom	POMIC	hom.033&35!	N/A	...amal asmbeirsom fesin qui uos recipit me recipit qui uos spernit me spernit	As he himself says, ‘whoever receives you receives me; whoever spurns you, spurns me’.	amal asmbeirsom fesin	As he himself says	asmbeirsom fesin	As he himself says	3sg.masc.Overt_Pronoun_INTS	PRON-SBJ	as-beir	som fesin	3sg.masc.Overt_Pronoun_INTS	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Ml.	061a08	N/A	S0006-3788	.i. etir décai .i. doécai indinmedonach .i. at gleinn assa aicniud fessin airis inunn folud techtas fris inbocht.,	i.e. he introspects, i.e. he looks internally, i.e. he examines it from his own nature, for the substance that he has is the same as the poor man.	at gleinn assa aicniud fessin	he examines it from his own nature	assa aicniud fessin	from his own nature	3sg.masc.Possessive_INTS	PP-COMP	as-gleinn	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	SBJ=POSS	NO	N/A
Wb.	030d08	N/A	N/A	.i. bithé magistir dongegat indhí asindisset atola féisne dóib	i.e. these will be the masters whom they will choose, those who will declare to them their own desires.	asindisset atola féisne dóib	who will declare to them their own desires	atola féisne dóib	their own desires	3pl.Possessive_INTS	NP-OBJ	as-indet	-	3sg.RELATIVE	N/A	N/A	N/A	N/A	N/A	SBJ≠NP-OBJ	SBJ=POSS	NO	N/A
Ml.	065a01	N/A	S0006-4106	.i. iarsindí adcuaidsom dineuch immethecrathar críst dianechtair ɔtoi talmaidiu duaisndis de fessin· híc	i.e. after he has spoken of what covers Christ externally <=i.e. His external appearance>, he turns suddenly to set forth concerning Himself.	duaisndis de fessin· híc	to set forth concerning Himself	de fessin	Himself	3sg.masc.Null_Pronoun_INTS	PP-COMP	as-indet	-	PRO	ɔtoi talmaidiu duaisndis de fessin· híc	VERB	con-toí	-	3sg.Null_Pronoun	PRO=PP-COMP	VERB-SBJ=PP-COMP	YES	MORPH IS COREFERENTIAL WITH HIGHER SUBJECT.
Ml.	115b10	N/A	S0006-7015	.i. anambaid buidig .i. ní lour lib a ais<ndís> hifar crichaib fadisin	i.e. when you are not content, i.e. to declare it in your own territories is not sufficient for you.	a ais<ndís> hifar crichaib fadisin	to declare it in your own territories	hifar crichaib fadisin	in your own territories	2pl.Possessive_INTS	PP-COMP	as-indet	-	PRO	N/A	N/A	N/A	N/A	N/A	PRO≠PP-COMP	PRO=POSS	NO	N/A
Ml.	126b02	N/A	S0006-7576	infoscugud .i. is donertad in popuil adcuid som cid intain ronan duaisndís dun p<op>ul fesin	the departure, i.e. it is to encourage the people that he has spoken, even when he had ceased from speaking of the people itself.	duaisndís dun p<op>ul fesin	from speaking of the people itself	dun p<op>ul fesin	of the people itself	sg.Noun_INTS	PP-COMP	as-indet	-	PRO	N/A	N/A	N/A	N/A	N/A	PRO≠PP-COMP	N/A	NO	N/A
Ml.	074c03	N/A	S0006-4717	.i. lasse nollochtaigtis .i. nolochtaigtis 7 nupectaigtis 7 aslentis amenma fadesin tri a<dé>itched 7 ingabail innambriathar ṅ diut nuradinse	i.e. when they used to commit offences, i.e. they used to commit offences and sin and defile their own mind through execration and reprehension of the simple words that I used to speak.	7 aslentis amenma fadesin tri a<dé>itched 7 ingabail innambriathar ṅ	and defile their own mind through execration and reprehension of the simple words	amenma fadesin 	their own mind	3pl.Possessive_INTS	NP-OBJ	as-léna	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠NP-OBJ	SBJ=POSS	NO	N/A
Wb.	013a12	N/A	N/A	mabeidní dirúnaib dothéi armenmuin indfir bíis innasuidiu et adreig achele	i.e. if there should be anything of mysteries that should come into the mind of the man who is sitting, and his fellow arises	et adreig achele	and his fellow arises	adreig	arises <lit. raises himself>	3sg.masc.Infixed_Pronoun	PRON-OBJ	as-reig	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	031c14	N/A	S0006-1324	anatammresa oldia	when I will rise, says God.	anatammresa	when I will rise <lit. raise myself>	natammresa	I will rise <lit. raise myself>	1sg.Infixed_Pronoun	PRON-OBJ	as-reig	sa	1sg.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	046a12	N/A	S0006-2642	acondírgedar .i. asbeirsom frisnatorus arndacum cabat 7 arnda ersoilcet noch is arnaib dorsaidib són ɔda ǽrset do failti archenn arríg dothet ɔ<a>popul adoiri·	when he reproves, i.e. he says to the doors that they should rise and open themselves: however that is for the doorkeepers so that they may arise in welcome before their King who comes with his people out of captivity.	ɔda ǽrset do failti archenn arríg	so that they may arise in welcome before their King	ɔda ǽrset	so that they may arise <lit. they may raise themselves>	3pl.Infixed_Pronoun	PRON-OBJ	as-reig	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	126c03	N/A	S0006-7597	.i. intropdaid .i. epert atrǽ asaltair	i.e. figuratively: the saying “Arise, O psalter!”	atrǽ asaltair	Arise, O psalter!	atrǽ	arise	3sg.neut.Infixed_Pronoun	UNC	as-reig	-	2sg.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
B-Brig	POMIC	bb.403	N/A	7 atarecht bríd fadeisne do indlat a coss	And Bríg herself arose to wash her feet.	7 atarecht bríd fadeisne	And Bríg herself arose	atarecht	Brigit herself	3sg.fem.Infixed_Pronoun	PRON-OBJ	as-reig	bríd fadeisne	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
B-Brig	POMIC	bb.403	N/A	7 atarecht bríd fadeisne do indlat a coss	And Bríg herself arose to wash her feet.	7 atarecht bríd fadeisne	And Bríg herself arose	bríd fadeisne	Brigit herself	sg.Noun_INTS	NP-SBJ	as-reig	bríd fadeisne	sg.Noun_INTS	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Arm.Gloss	Gwynn.1913.472.fol.179v2	N/A	S0012-51	nutasigthe dugallasu	Shoe yourself with your Gaulish shoes!	nutasigthe dugallasu	Shoe yourself with your Gaulish shoes!	nutasigthe	shoe yourself	2sg.Infixed_Pronoun	PRON-OBJ	assaigidir	-	2sg.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	DOUBLE OBJECT.
Ml.	036d16	N/A	S0006-1843	co atbeltais· Indoini adordais innaidlu·	that the men who were worshipping the idols would die	co atbeltais· Indoini	the men … would die	atbeltais	would die	3sg.neut.Infixed_Pronoun	UNC	at-baill	indoini adordais innaidlu	pl.Noun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	057a03	N/A	S0006-3553	.i. nach accuis trissanétatsat som inna $inna$ anu hisin atbelat sidi 7 innasoinmecha fesin·	i.e. every cause through which they obtained those riches, they <=the causes> will perish and the prosperous things themselves.	atbelat sidi 7 innasoinmecha fesin	they <=the causes> will perish and the prosperous things themselves	innasoinmecha fesin	the prosperous things themselves	pl.Noun_INTS	NP-SBJ	at-baill	sidi 7 innasoinmecha fesin	3pl.Overt_Pronoun+pl.NP	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Ml.	057a10	N/A	S0006-3560	amal arindchrin dǽ 7 asindbail	as smoke perishes and dies	7 asindbail	and <it> dies	asindbail	<it> dies	3sg.neut.Infixed_Pronoun	UNC	at-baill	-	3sg.neut.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	073d07	N/A	S0006-4670	.i. na eiplet huan bás coitchen huanepil cach acht foircniter huasain bás sech cách·	i.e. let them not die by the common death whereby every one dies, but let them be ended by a special death different to all.	huanepil cach	whereby every one dies	huanepil	whereby … dies	3sg.neut.Infixed_Pronoun	UNC	at-baill	cach	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	085d08	N/A	S0006-5287	arna fothismide .i. arnach aipled ind hires ón	lest it be poured down, i.e. that the faith might not perish.	arnach aipled ind hires	that the faith might not perish	arnach aipled	that … might not perish	3sg.neut.Infixed_Pronoun	UNC	at-baill	ind hires	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	091d02	N/A	S0006-5682	níbí cian ɔid apail	It is not wont to be not long till it perishes.	ɔid apail	till it perishes	ɔid apail	till it perishes	3sg.neut.Infixed_Pronoun	UNC	at-baill	-	3sg.neut.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	098b08	N/A	S0006-6062	atbatha samlid	They died thus.	atbatha samlid	They died thus	atbatha	they died	3sg.neut.Infixed_Pronoun	UNC	at-baill	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	100a01	N/A	S0006-6128	.i. attrubaltar	i.e. that they perished	attrubaltar	that they perished	attrubaltar	that they perished	3sg.neut.Infixed_Pronoun	UNC	at-baill	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	102b10	N/A	S0006-6288	atbelat som	They will die.	atbelat som	They will die	atbelat som	they will die	3sg.neut.Infixed_Pronoun	UNC	at-baill	som	3pl.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
Ml.	110b09	N/A	S0006-6719	asindbelad	that it would perish	asindbelad	that it would perish	asindbelad	that it would perish	3sg.neut.Infixed_Pronoun	UNC	at-baill	-	3sg.neut.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠UNC	N/A	NO	MORPH CONTAINS A NON-OBJECTIVE INFIXED PRONOUN.
